player_id,player_name,season,competition_id,competition_name,country_name,age,position,sub_position,nationality,foot,height_in_cm,current_club_id,current_club_name,games_played,season_minutes,minutes_per_game,minutes_volatility,market_value_in_eur,highest_market_value_in_eur
91845,Heung-min Son,2014-2015,L1,bundesliga,Germany,23,Attack,Left Winger,"Korea, South",both,184,148,Tottenham Hotspur Football Club,30,2290.0,76.33333333333333,18.094812025059067,45000000,90000000
139337,Tiago Rodrigues,2013-2014,PO1,liga-portugal-bwin,Portugal,22,Midfield,Attacking Midfield,Portugal,right,177,28095,FK Ufa,21,989.0,47.095238095238095,31.944751058372734,250000,3000000
55215,Javier Pastore,2013-2014,FR1,ligue-1,France,25,Midfield,Attacking Midfield,Argentina,right,187,1531,Elche Club de Fútbol S.A.D.,29,1577.0,54.37931034482759,31.293288685687145,400000,30000000
234781,Maxwel Cornet,2019-2020,FR1,ligue-1,France,24,Attack,Left Winger,Cote d'Ivoire,left,179,180,Southampton FC,22,1329.0,60.40909090909091,34.2632311416256,9000000,18000000
380415,Henry Onyekuru,2018-2019,TR1,super-lig,Turkey,22,Attack,Left Winger,Nigeria,right,175,3840,Adana Demirspor,31,2523.0,81.38709677419355,18.893039201805443,4800000,13000000
431755,Dejan Kulusevski,2023-2024,GB1,premier-league,England,24,Midfield,Attacking Midfield,Sweden,left,186,148,Tottenham Hotspur Football Club,36,2766.0,76.83333333333333,23.33392856383644,55000000,55000000
58494,Stavros Tsoukalas,2012-2013,GR1,super-league-1,Greece,25,Midfield,Attacking Midfield,Greece,right,186,441,Apollon Smyrnis,30,2585.0,86.16666666666667,14.315686811637399,150000,900000
528451,Tobias Bech,2021-2022,DK1,superligaen,Denmark,20,Attack,Right Winger,Denmark,left,189,678,Aarhus Gymnastik Forening,22,1349.0,61.31818181818182,21.106626197037926,1500000,1500000
75615,Douglas Costa,2012-2013,UKR1,premier-liga,Ukraine,23,Attack,Right Winger,Brazil,left,172,506,Juventus Football Club,27,1310.0,48.51851851851852,22.25004431184996,1500000,55000000
168163,Deni Milosevic,2019-2020,TR1,super-lig,Turkey,25,Midfield,Attacking Midfield,Bosnia-Herzegovina,right,183,589,Antalyaspor,28,2341.0,83.60714285714286,13.504864958636958,300000,2300000
497221,Andriy Remenyuk,2021-2022,UKR1,premier-liga,Ukraine,23,Attack,Left Winger,Ukraine,right,170,55686,TOV FK Metalist 1925 Kharkiv,17,923.0,54.294117647058826,35.198203005404814,250000,600000
32711,Patrick Herrmann,2013-2014,L1,bundesliga,Germany,23,Attack,Right Winger,Germany,right,179,18,Borussia Verein für Leibesübungen 1900 Mönchengladbach,34,2704.0,79.52941176470588,9.450288803920685,1000000,12000000
571020,Oihan Sancet,2024-2025,ES1,laliga,Spain,25,Midfield,Attacking Midfield,Spain,right,188,621,Athletic Club Bilbao,29,1626.0,56.06896551724138,24.06303651902752,35000000,35000000
206744,Wouter Marinus,2015-2016,NL1,eredivisie,Netherlands,21,Midfield,Attacking Midfield,Netherlands,right,177,1283,FC Emmen,31,1910.0,61.61290322580645,28.008843556593543,100000,800000
357885,Pablo Fornals,2020-2021,GB1,premier-league,England,25,Midfield,Attacking Midfield,Spain,right,178,379,West Ham United Football Club,40,3147.0,78.675,17.774120934662285,14000000,30000000
176341,Beykan Simsek,2015-2016,TR1,super-lig,Turkey,21,Attack,Left Winger,Turkey,right,175,1467,Göztepe Sportif Yatırımlar A.Ş.,25,1698.0,67.92,23.199862068555493,200000,2000000
182574,Jean-Paul Boëtius,2014-2015,NL1,eredivisie,Netherlands,21,Midfield,Attacking Midfield,Netherlands,right,178,44,Hertha BSC,31,1780.0,57.41935483870968,27.759071976619133,1200000,6000000
74842,Mario Götze,2013-2014,L1,bundesliga,Germany,22,Midfield,Attacking Midfield,Germany,right,176,24,Eintracht Frankfurt Fußball AG,27,1823.0,67.51851851851852,23.90160442525792,5500000,55000000
140446,Rilwan Hassan,2013-2014,DK1,superligaen,Denmark,23,Attack,Right Winger,Nigeria,right,172,5817,Sønderjyske Fodbold,21,1210.0,57.61904761904762,27.305112360100853,175000,800000
263860,Jason Remeseiro,2017-2018,ES1,laliga,Spain,24,Attack,Right Winger,Spain,right,178,8024,Futebol Clube de Arouca,27,1792.0,66.37037037037037,25.27646855923091,3000000,6000000
339820,Amath Ndiaye,2018-2019,ES1,laliga,Spain,23,Attack,Right Winger,Senegal,right,173,237,Real Club Deportivo Mallorca S.A.D.,15,1010.0,67.33333333333333,22.904633204271626,1500000,5000000
319301,Daniel James,2020-2021,GB1,premier-league,England,24,Attack,Right Winger,Wales,right,171,399,Leeds United Association Football Club,18,944.0,52.44444444444444,33.66868347461154,12000000,28000000
424051,Samuel Kalu,2020-2021,FR1,ligue-1,France,24,Attack,Right Winger,Nigeria,right,177,1010,Watford FC,20,972.0,48.6,24.98679651335881,2500000,10000000
128220,Luis Alberto,2015-2016,ES1,laliga,Spain,24,Midfield,Attacking Midfield,Spain,right,183,398,Società Sportiva Lazio S.p.A.,29,2106.0,72.62068965517241,22.519591153732616,11000000,55000000
72772,Josué,2013-2014,PO1,liga-portugal-bwin,Portugal,24,Midfield,Attacking Midfield,Portugal,left,174,19771,Akhisarspor,20,1233.0,61.65,25.644248867923583,800000,8250000
342393,Gustav Marcussen,2019-2020,DK1,superligaen,Denmark,22,Attack,Left Winger,Denmark,right,178,1177,Silkeborg Idrætsforening,20,961.0,48.05,26.27636770940763,250000,500000
255508,Iñaki Williams,2014-2015,ES1,laliga,Spain,21,Attack,Right Winger,Ghana,right,186,621,Athletic Club Bilbao,19,1306.0,68.73684210526316,28.183313662077946,25000000,50000000
203460,Jack Grealish,2019-2020,GB1,premier-league,England,25,Attack,Left Winger,England,right,180,281,Manchester City Football Club,30,2694.0,89.8,1.0770329614269023,60000000,100000000
214316,Luciano Vietto,2016-2017,ES1,laliga,Spain,24,Midfield,Attacking Midfield,Argentina,right,173,336,Sporting Clube de Portugal,21,1309.0,62.333333333333336,32.98243880978588,2300000,20000000
342389,Anders Dreyer,2021-2022,RU1,premier-liga,Russia,24,Attack,Right Winger,Denmark,left,174,58,Royal Sporting Club Anderlecht,14,1210.0,86.42857142857143,6.8942448640078045,15000000,15000000
346853,Romano Schmid,2022-2023,L1,bundesliga,Germany,23,Midfield,Attacking Midfield,Austria,right,168,86,Sportverein Werder Bremen von 1899,27,1520.0,56.2962962962963,30.312953855864397,10000000,10000000
232093,Reziuan Mirzov,2017-2018,RU1,premier-liga,Russia,25,Attack,Left Winger,Russia,right,182,3719,FC Khimki (-2025),20,1371.0,68.55,27.05452827162211,1000000,2800000
175169,Bernard,2015-2016,UKR1,premier-liga,Ukraine,24,Attack,Left Winger,Brazil,right,164,265,Panathinaikos Athlitikos Omilos,21,1250.0,59.523809523809526,25.104769130716498,2500000,20000000
73097,Omar El Kaddouri,2014-2015,IT1,serie-a,Italy,25,Midfield,Attacking Midfield,Morocco,right,185,1091,Panthessalonikios Athlitikos Omilos Konstantinoupoliton,32,2308.0,72.125,24.824068461877886,600000,5000000
592400,Abdelkahar Kadri,2023-2024,BE1,jupiler-pro-league,Belgium,24,Midfield,Attacking Midfield,Algeria,right,170,601,KV Kortrijk,27,2287.0,84.70370370370371,12.721561792119985,2500000,3300000
